geo_id,day,deaths_weekly
bi,20200928,0
bi,20201005,0
bi,20201012,0
bi,20201019,0
bi,20201026,0
bi,20201102,0
bi,20201109,0
bi,20201116,0
bi,20201123,0
bi,20201130,0
bi,20201207,0
bi,20201214,0
bi,20201221,1
bi,20201228,0
bi,20210104,0
bj,20200323,0
bj,20200330,0
bj,20200406,0
bj,20200413,1
bj,20200420,0
bj,20200427,0
bj,20200504,1
bj,20200511,0
bj,20200518,0
bj,20200525,1
bj,20200601,0
bj,20200608,1
bj,20200615,3
bj,20200622,6
bj,20200629,3
bj,20200706,5
bj,20200713,5
bj,20200720,5
bj,20200727,4
bj,20200803,1
bj,20200810,2
bj,20200817,1
bj,20200824,0
bj,20200831,1
bj,20200907,0
bj,20200914,0
bj,20200921,0
bj,20200928,0
bj,20201005,1
bj,20201012,0
bj,20201019,0
bj,20201026,0
bj,20201102,0
bj,20201109,2
bj,20201116,0
bj,20201123,0
bj,20201130,0
bj,20201207,1
bj,20201214,0
bj,20201221,0
bj,20201228,0
bj,20210104,0
bm,20200323,0
bm,20200330,0
bm,20200406,0
bm,20200413,4
bm,20200420,1
bm,20200427,0
bm,20200504,2
bm,20200511,0
bm,20200518,2
bm,20200525,0
bm,20200601,0
bm,20200608,0
bm,20200615,0
bm,20200622,0
bm,20200629,0
bm,20200706,0
bm,20200713,0
bm,20200720,0
bm,20200727,0
bm,20200803,0
bm,20200810,0
bm,20200817,0
bm,20200824,0
bm,20200831,0
bm,20200907,0
bm,20200914,0
bm,20200921,0
bm,20200928,0
bm,20201005,0
bm,20201012,0
bm,20201019,0
bm,20201026,0
bm,20201102,0
bm,20201109,0
bm,20201116,0
bm,20201123,0
bm,20201130,0
bm,20201207,0
bm,20201214,0
bm,20201221,0
bm,20201228,1
bm,20210104,0
bn,20200316,0
bn,20200323,0
bn,20200330,1
bn,20200406,0
bn,20200413,0
bn,20200420,0
bn,20200427,0
bn,20200504,0
bn,20200511,0
bn,20200518,0
bn,20200525,0
bn,20200601,1
bn,20200608,0
bn,20200615,0
bn,20200622,1
bn,20200629,0
bn,20200706,0
bn,20200713,0
bn,20200720,0
bn,20200727,0
bn,20200803,0
bn,20200810,0
bn,20200817,0
bn,20200824,0
bn,20200831,0
bn,20200907,0
bn,20200914,0
bn,20200921,0
bn,20200928,0
bn,20201005,0
bn,20201012,0
bn,20201019,0
bn,20201026,0
bn,20201102,0
bn,20201109,0
bn,20201116,0
bn,20201123,0
bn,20201130,0
bn,20201207,0
bn,20201214,0
bn,20201221,0
bn,20201228,0
bn,20210104,0
