geo_id,day,notification_rate_per_100000_population_14_days
bg,20200907,25.19
bg,20200914,24.69
bg,20200921,25.9
bg,20200928,30.53
bg,20201005,38.91
bg,20201012,62.1
bg,20201019,113.09
bg,20201026,192.67
bg,20201102,350.94
bg,20201109,532.44
bg,20201116,631.17
bg,20201123,666.57
bg,20201130,631.93
bg,20201207,565.73
bg,20201214,528.04
bg,20201221,425.34
bg,20201228,260.96
bg,20210104,169.37
bh,20200106,
bh,20200113,0
bh,20200120,0
bh,20200127,0
bh,20200203,0
bh,20200210,0
bh,20200217,0
bh,20200224,0.06
bh,20200302,2.86
bh,20200309,4.75
bh,20200316,10.18
bh,20200323,15.54
bh,20200330,17.43
bh,20200406,22.3
bh,20200413,38.75
bh,20200420,71.47
bh,20200427,92.07
bh,20200504,92.01
bh,20200511,139.78
bh,20200518,217.71
bh,20200525,255.73
bh,20200601,270.66
bh,20200608,342.74
bh,20200615,435.42
bh,20200622,426.59
bh,20200629,436.34
bh,20200706,463.27
bh,20200713,440.91
bh,20200720,429.88
bh,20200727,377.17
bh,20200803,311.61
bh,20200810,297.35
bh,20200817,298.2
bh,20200824,306.31
bh,20200831,313.44
bh,20200907,349.33
bh,20200914,488.19
bh,20200921,592.75
bh,20200928,559.91
bh,20201005,497.39
bh,20201012,396.79
bh,20201019,319.29
bh,20201026,302.71
bh,20201102,245.01
bh,20201109,195.04
bh,20201116,169.39
bh,20201123,137.04
bh,20201130,126.98
bh,20201207,135.57
bh,20201214,143.56
bh,20201221,143.31
bh,20201228,157.81
bh,20210104,194.74
bi,20200406,
bi,20200413,0.04
bi,20200420,0.03
bi,20200427,0.09
bi,20200504,0.11
bi,20200511,0.03
bi,20200518,0.2
bi,20200525,0.2
bi,20200601,0.18
bi,20200608,0.36
bi,20200615,0.27
bi,20200622,0.53
bi,20200629,0.66
bi,20200706,0.41
bi,20200713,0.69
bi,20200720,1.03
bi,20200727,0.96
bi,20200803,0.74
bi,20200810,0.41
bi,20200817,0.16
bi,20200824,0.18
bi,20200831,0.28
bi,20200907,0.29
bi,20200914,0.23
bi,20200921,0.1
bi,20200928,0.11
bi,20201005,0.35
bi,20201012,0.34
bi,20201019,0.25
bi,20201026,0.28
bi,20201102,0.41
bi,20201109,0.5
bi,20201116,0.34
bi,20201123,0.42
bi,20201130,0.46
bi,20201207,0.28
bi,20201214,0.42
bi,20201221,0.58
bi,20201228,0.69
bi,20210104,0.62
bj,20200323,
bj,20200330,0.05
bj,20200406,0.17
bj,20200413,0.25
bj,20200420,0.13
bj,20200427,0.25
bj,20200504,0.45
bj,20200511,2.16
bj,20200518,2.11
bj,20200525,-1.08
bj,20200601,-0.91
bj,20200608,0.65
bj,20200615,2.02
bj,20200622,4.21
bj,20200629,5.75
bj,20200706,3.68
bj,20200713,1.94
bj,20200720,3.41
bj,20200727,3.32
bj,20200803,1.72
bj,20200810,1.41
bj,20200817,2.19
bj,20200824,1.52
bj,20200831,0.69
bj,20200907,0.83
bj,20200914,1.03
bj,20200921,0.57
bj,20200928,0.62
bj,20201005,0.65
bj,20201012,0.6
bj,20201019,1.18
bj,20201026,1.24
bj,20201102,1.25
bj,20201109,1.59
bj,20201116,1.7
bj,20201123,1.45
bj,20201130,1.1
bj,20201207,1.18
bj,20201214,0.98
bj,20201221,0.95
bj,20201228,0.97
bj,20210104,0.71
bm,20200323,
bm,20200330,35.2
bm,20200406,49.59
bm,20200413,55.99
bm,20200420,78.39
bm,20200427,83.19
bm,20200504,46.39
bm,20200511,14.4
bm,20200518,12.8
