geo_id,day,cases
ag,20200507,0
ag,20200508,0
ag,20200509,0
ag,20200510,0
ag,20200511,0
ag,20200512,0
ag,20200513,0
ag,20200514,0
ag,20200515,0
ag,20200516,0
ag,20200517,0
ag,20200518,0
ag,20200519,0
ag,20200520,0
ag,20200521,0
ag,20200522,0
ag,20200523,0
ag,20200524,0
ag,20200525,0
ag,20200526,0
ag,20200527,0
ag,20200528,0
ag,20200529,0
ag,20200530,0
ag,20200531,0
ag,20200601,0
ag,20200602,0
ag,20200603,0
ag,20200604,1
ag,20200605,0
ag,20200606,0
ag,20200607,0
ag,20200608,0
ag,20200609,0
ag,20200610,0
ag,20200611,0
ag,20200612,0
ag,20200613,0
ag,20200614,0
ag,20200615,0
ag,20200616,0
ag,20200617,0
ag,20200618,0
ag,20200619,0
ag,20200620,0
ag,20200621,0
ag,20200622,0
ag,20200623,0
ag,20200624,0
ag,20200625,39
ag,20200626,0
ag,20200627,0
ag,20200628,0
ag,20200629,0
ag,20200630,1
ag,20200701,0
ag,20200702,0
ag,20200703,2
ag,20200704,0
ag,20200705,0
ag,20200706,0
ag,20200707,2
ag,20200708,0
ag,20200709,3
ag,20200710,0
ag,20200711,1
ag,20200712,0
ag,20200713,0
ag,20200714,0
ag,20200715,0
ag,20200716,0
ag,20200717,0
ag,20200718,2
ag,20200719,0
ag,20200720,0
ag,20200721,0
ag,20200722,0
ag,20200723,0
ag,20200724,0
ag,20200725,6
ag,20200726,0
ag,20200727,0
ag,20200728,4
ag,20200729,0
ag,20200730,5
ag,20200731,0
ag,20200801,0
ag,20200802,0
ag,20200803,0
ag,20200804,1
ag,20200805,0
ag,20200806,0
ag,20200807,0
ag,20200808,0
ag,20200809,0
ag,20200810,0
ag,20200811,0
ag,20200812,0
ag,20200813,0
ag,20200814,1
ag,20200815,0
ag,20200816,0
ag,20200817,0
ag,20200818,0
ag,20200819,0
ag,20200820,1
ag,20200821,0
ag,20200822,0
ag,20200823,0
ag,20200824,0
ag,20200825,0
ag,20200826,0
ag,20200827,0
ag,20200828,0
ag,20200829,0
ai,20200327,2
ai,20200328,0
ai,20200329,0
ai,20200330,0
ai,20200331,0
ai,20200401,0
ai,20200402,0
ai,20200403,1
ai,20200404,0
ai,20200405,0
ai,20200406,0
ai,20200407,0
ai,20200408,0
ai,20200409,0
ai,20200410,0
ai,20200411,0
ai,20200412,0
ai,20200413,0
ai,20200414,0
ai,20200415,0
ai,20200416,0
ai,20200417,0
ai,20200418,0
ai,20200419,0
ai,20200420,0
ai,20200421,0
ai,20200422,0
ai,20200423,0
ai,20200424,0
ai,20200425,0
ai,20200426,0
ai,20200427,0
ai,20200428,0
ai,20200429,0
ai,20200430,0
ai,20200501,0
ai,20200502,0
ai,20200503,0
ai,20200504,0
ai,20200505,0
ai,20200506,0
ai,20200507,0
ai,20200508,0
ai,20200509,0
ai,20200510,0
ai,20200511,0
ai,20200512,0
