geo_id,day,deaths
am,20200428,1
am,20200429,0
am,20200430,0
am,20200501,2
am,20200502,1
am,20200503,0
am,20200504,2
am,20200505,4
am,20200506,1
am,20200507,0
am,20200508,2
am,20200509,1
am,20200510,1
am,20200511,1
am,20200512,1
am,20200513,1
am,20200514,1
am,20200515,1
am,20200516,3
am,20200517,3
am,20200518,5
am,20200519,1
am,20200520,3
am,20200521,3
am,20200522,3
am,20200523,4
am,20200524,3
am,20200525,4
am,20200526,6
am,20200527,4
am,20200528,7
am,20200529,15
am,20200530,7
am,20200531,7
am,20200601,4
am,20200602,8
am,20200603,19
am,20200604,12
ao,20200322,0
ao,20200323,0
ao,20200324,0
ao,20200325,0
ao,20200326,0
ao,20200327,0
ao,20200328,0
ao,20200329,0
ao,20200330,2
ao,20200331,0
ao,20200401,0
ao,20200402,0
ao,20200403,0
ao,20200404,0
ao,20200405,0
ao,20200406,0
ao,20200407,0
ao,20200408,0
ao,20200409,0
ao,20200410,0
ao,20200411,0
ao,20200412,0
ao,20200413,0
ao,20200414,0
ao,20200415,0
ao,20200416,0
ao,20200417,0
ao,20200418,0
ao,20200419,0
ao,20200420,0
ao,20200421,0
ao,20200422,0
ao,20200423,0
ao,20200424,0
ao,20200425,0
ao,20200426,0
ao,20200427,0
ao,20200428,0
ao,20200429,0
ao,20200430,0
ao,20200501,0
ao,20200502,0
ao,20200503,0
ao,20200504,0
ao,20200505,0
ao,20200506,0
ao,20200507,0
ao,20200508,0
ao,20200509,0
ao,20200510,0
ao,20200511,0
ao,20200512,0
ao,20200513,0
ao,20200514,0
ao,20200515,0
ao,20200516,0
ao,20200517,0
ao,20200518,0
ao,20200519,0
ao,20200520,0
ao,20200521,1
ao,20200522,0
ao,20200523,0
ao,20200524,0
ao,20200525,1
ao,20200526,0
ao,20200527,0
ao,20200528,0
ao,20200529,0
ao,20200530,0
ao,20200531,0
ao,20200601,0
ao,20200602,0
ao,20200603,0
ao,20200604,0
ar,20200304,0
ar,20200306,0
ar,20200307,0
ar,20200308,1
ar,20200309,0
ar,20200311,0
ar,20200313,0
ar,20200314,1
ar,20200315,0
ar,20200316,0
ar,20200317,0
ar,20200318,0
ar,20200319,0
ar,20200320,1
ar,20200321,0
ar,20200322,1
ar,20200323,0
ar,20200324,0
ar,20200325,2
ar,20200326,2
ar,20200327,4
ar,20200328,5
ar,20200329,2
